debate_name,debate_section,speaker,speech,speaking_time_seconds
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Lester Holt,"Good evening everyone. I’m Lester Holt. Welcome to Las Vegas. Everything is on the line tonight, with just three days before the critical Nevada caucuses. Here with me on the stage tonight, NBC News Political Director and moderator of Meet the Press, Chuck Todd. And NBC News Chief White House correspondent and MSNBC anchor, Hallie Jackson. Also joining us is Telemundo’s Senior Correspondent, Vanessa Hauc. And editor of the Nevada Independent Jon Ralston, who has covered Nevada politics for more than three decades. The rules are this tonight, candidates will get a minute 15 to answer each question and 45 seconds for followups. Now that the stage has narrowed to six candidates, we encourage each of you to directly engage with each other on the issues.",47.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Lester Holt,"So let’s get to our first question. Since the last time you all shared the stage, Senator Sanders, a self-described democratic socialist, has surged into the lead nationally in the democratic race. And there’s a new person on the stage tonight, Mayor Michael Bloomberg. A former Republican who spent millions of his own dollars to run in this race. What hasn’t changed? A majority of democratic voters still say their top priority is beating President Trump. Senator Sanders, the first question to you, Mayor Bloomberg is pitching himself as a centrist who says he’s best positioned to win in November. Why is your revolution a better bet?",38.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Bernie Sanders,"In order to beat Donald Trump, we’re going to need the largest voter turnout in the history of the United States. Mr. Bloomberg had policies in New York city of stop-and-frisk, which went after African American and Latino people in an outrageous way. That is not a way you’re going to grow voter turnout. What our movement is about is bringing working class people together, black and white and Latino, Native American, Asian American, around an agenda that works for all of us and not just the billionaire class. And that agenda says that maybe, just maybe, we should join the rest of the industrialized world, guarantee healthcare to all people as a human right, raise that minimum wage to a living wage of 15 bucks an hour. And have the guts to take on the fossil fuel industry, because their short term profits are not more important than the future of this planet and the need to combat climate change. Those are some of the reasons we have the strongest campaign to defeat Donald Trump.",70.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Elizabeth Warren,So I’d like-,1.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Lester Holt,"Mayor Bloomberg, can Senator Sanders beat President Trump and how do you want to respond to what else he said?",5.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Michael Bloomberg,"I don’t think there’s any chance of the Senator beating President Trump. You don’t start out by saying, “I’ve got 160 million people, I’m going to take away the insurance plan that they love.” That’s just not a ways that you go and start building the coalition that the Sanders’ camp thinks that they can do. I don’t think there’s any chance whatsoever, and if he goes and is the candidate, we will have Donald Trump for another four years and we can’t stand that.",31.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Lester Holt,Senator Warren.,2.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Elizabeth Warren,"I’d like to talk about who we’re running against. A billionaire who calls women fat broads and horse faced lesbians. And no, I’m not talking about Donald Trump, I’m talking about mayor Bloomberg. Democrats are not going to win if we have a nominee who has a history of hiding his tax returns, of harassing women and of supporting racist policies like redlining and stop-and-frisk. Look, I’ll support whoever the democratic nominee is, but understand this, Democrats take a huge risk if we just substitute one arrogant billionaire for another. This country has worked for the rich for a long time and left everyone else in the dirt. It is time to have a president who will be on the side of working families and be willing to get out there and fight for them. That is why I am in this race and that is how I will beat Donald Trump.",60.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Lester Holt,"[crosstalk 00:04:14] Senator Klobuchar, what do you think the path is from this stage to the White House? What works?",7.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Amy Klobuchar,"I think the path is a high voter turnout. I’m the one on this stage that had the highest voter turnout of any state in the country, when I led the tip ticket. As well as bringing in rural and suburban voters and I’ve done that as well. And I’m the only one with the receipts to have done that in Republican congressional districts over and over again. But I want to say this, I actually welcomed Mayor Bloomberg to the stage. I thought that he shouldn’t be hiding behind his TV ads, and so I was already for this big day. And then I looked at the memo from his campaign staff this morning and it said that he actually thought that three of us should get out of the way. That is what his campaign said, because we should pave the way for him to become the nominee.",46.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Amy Klobuchar,"I have been told as a woman, as someone that maybe no one thought was still going to be standing up on this stage, but I am because of pure grit and because of the people out there. I’ve been told many times to wait my turn and to step aside and I’m not going to do that now and I’m not going to do that because a campaign memo from Mayor Bloomberg said this morning that the only way that we get a nominee is if we step aside for him. I think we need something different than Donald Trump. I don’t think you look at Donald Trump and say, we need someone richer in the white house.",33.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Lester Holt,"Thank you. Mayor Bloomberg, there’s a lot for you to respond to there, so here’s your opportunity.",5.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Michael Bloomberg,"I think we have two questions to face tonight. One is, who can beat Donald Trump? And number two, who can do the job if they get into the White House? And I would argue that I am candidate that can do exactly both of those things. I’m a New Yorker. I know how to take on an arrogant con man like Donald Trump that comes from New York. I’m a mayor. I was a mayor. I know how to run a complicated city, the biggest, most diverse city in this country. I’m a manager. I knew what to do after 9-11 and brought the city back stronger than ever. And I’m a philanthropist who didn’t inherit his money, but made his money. And I’m spending that money to get rid of Donald Trump, the worst President we have ever had. And if I can get that done, it will be a great contribution to America and to my kids.",54.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Lester Holt,"Vice President Biden, I’ll let you weigh in there.",4.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Joe Biden,"In terms who can beat Donald Trump, NBC did a poll yesterday, says Joe Biden is best equipped to beat Donald Trump. That’s what your poll said. And it said that I can beat him in those toss up states too, those states we have to win. I’m ahead by eight points across the board. So in terms of being able to beat Donald Trump, I’m better positioned according to your poll than anybody else to beat Donald Trump, number one. Number two, the Mayor makes an interesting point. The mayor says that he has a great record, that he’s done these wonderful things.",31.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Joe Biden,"Well the fact of the matter is, he has not managed his city very, very well when he was there. He didn’t get a whole lot done. He has stop-and-frisk, throwing close to 5 million young black men up against a wall. And when we came along in our administration, President Obama and said, “We’re going to send in a mediator to stop it.” He said, “That’s unnecessary.” So we’re going to get a chance to talk about the mayor’s record, but in terms of who is best prepared to beat Donald Trump, look at your poll and what it says.",33.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Lester Holt,"Mayor Buttigieg, you’d like to weigh in.",2.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Pete Buttigieg,"Yes, we’ve got to wake up as a party. We could wake up two weeks from today, the day after super Tuesday, and the only candidates left standing will be Bernie Sanders and Mike Bloomberg, the two most polarizing figures on this stage. And most Americans don’t see where they fit, if they’ve got to choose between a socialist who thinks that capitalism is the root of all evil and a billionaire who thinks that money ought to be the root of all power. Let’s put forward somebody who actually lives and works in a middle-class neighborhood, in an industrial Midwestern city. Let’s put forward somebody who’s actually a Democrat. Look, we shouldn’t have to choose between one candidate who wants to burn this party down and another candidate who wants to buy this party out. We can do better.",57.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Lester Holt,"Senator Sanders, are you polarizing?",4.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Bernie Sanders,"If speaking to the needs and the pain of a long neglected working class is polarizing, I think you got the wrong word. What we are trying finally to do, is to give a voice to people who have to 45 years of work are not making a nickel more than they did 45 years ago. We are giving a voice to people who are saying we are sick of tired of billionaires like Mr. Bloomberg seeing huge expansions of their wealth, while a half a million people sleep out on the street tonight. And that’s what we are saying, Pete, is maybe it’s a time for the working class of this country to have a little bit of power in Washington rather than your billionaire campaign contributors.",46.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Pete Buttigieg,"All right. Look, first of all- [crosstalk 00:09:43] Look, my campaign is fueled by hundreds of thousands of contributors-",11.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Bernie Sanders,Including 46 billionaires.,2.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Pete Buttigieg,"Among the hundreds of thousands of contributors. And look, we’ve got to unite this country to deal with these issues. You’re not the only one who cares about the working class. Most Americans believe we need to empower workers. As a matter of fact, you’re the one who is at war with the Culinary Union right here in Las Vegas. We can’t-",21.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Bernie Sanders,We are more union support than you have ever dreamed of.,4.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Pete Buttigieg,We can-,0.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Bernie Sanders,We have the support of unions all across this country.,3.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Pete Buttigieg,Yeah but the vision I’m putting forward has the support of the American people.,3.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Bernie Sanders,Really.,0.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Pete Buttigieg,We can actually deliver healthcare without taking it away from anyone. We can actually empower workers and lift wages without further polarizing this country and we can build a movement without having legions of our supporters online and in person attacking democratic figures and union leaders alike-,18.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Hallie Jackson,"Senator Warren, I have a question for you. On Sunday, on Meet the Press, Vice President Biden accused Senator Sanders supporters of bullying union leaders here with, “Vicious, malicious misogynistic things.” You said Democrats cannot build an inclusive party on a foundation of hate. Are Senator Sanders and his supporters making it harder for Democrats to unify in November?",22.0
